[2020-03-14 13:00:19] [info]  [ 6296] Stopping service...
[2020-03-14 13:00:20] [info]  [ 6296] Service stop thread completed.
[2020-03-14 13:00:20] [info]  [ 6672] Run service finished.
[2020-03-14 13:00:20] [info]  [ 6672] Commons Daemon procrun finished
[2020-03-14 13:00:21] [info]  [ 4296] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 13:00:21] [info]  [ 4296] Running 'Tomcat8' Service...
[2020-03-14 13:00:21] [info]  [ 1256] Starting service...
[2020-03-14 13:00:22] [info]  [ 1256] Service started in 1196 ms.
[2020-03-14 13:09:22] [info]  [10884] Stopping service...
[2020-03-14 13:09:23] [info]  [10884] Service stop thread completed.
[2020-03-14 13:09:24] [info]  [ 4296] Run service finished.
[2020-03-14 13:09:24] [info]  [ 4296] Commons Daemon procrun finished
[2020-03-14 13:09:24] [info]  [ 3728] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 13:09:24] [info]  [ 3728] Running 'Tomcat8' Service...
[2020-03-14 13:09:24] [info]  [10740] Starting service...
[2020-03-14 13:09:26] [info]  [10740] Service started in 1244 ms.
[2020-03-14 13:11:20] [info]  [10612] Stopping service...
[2020-03-14 13:11:21] [info]  [10612] Service stop thread completed.
[2020-03-14 13:11:21] [info]  [ 3728] Run service finished.
[2020-03-14 13:11:21] [info]  [ 3728] Commons Daemon procrun finished
[2020-03-14 13:11:22] [info]  [ 7200] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 13:11:22] [info]  [ 7200] Running 'Tomcat8' Service...
[2020-03-14 13:11:22] [info]  [ 9860] Starting service...
[2020-03-14 13:11:23] [info]  [ 9860] Service started in 1198 ms.
[2020-03-14 13:36:50] [info]  [ 9196] Stopping service...
[2020-03-14 13:36:51] [info]  [ 9196] Service stop thread completed.
[2020-03-14 13:36:51] [info]  [ 7200] Run service finished.
[2020-03-14 13:36:51] [info]  [ 7200] Commons Daemon procrun finished
[2020-03-14 13:36:52] [info]  [10480] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 13:36:52] [info]  [10480] Running 'Tomcat8' Service...
[2020-03-14 13:36:52] [info]  [ 4612] Starting service...
[2020-03-14 13:36:53] [info]  [ 4612] Service started in 1181 ms.
[2020-03-14 13:40:23] [info]  [10804] Stopping service...
[2020-03-14 13:40:24] [info]  [10804] Service stop thread completed.
[2020-03-14 13:40:25] [info]  [10480] Run service finished.
[2020-03-14 13:40:25] [info]  [10480] Commons Daemon procrun finished
[2020-03-14 15:18:32] [info]  [ 1644] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 15:18:32] [info]  [ 1644] Running 'Tomcat8' Service...
[2020-03-14 15:18:32] [info]  [10396] Starting service...
[2020-03-14 15:18:33] [info]  [10396] Service started in 1158 ms.
[2020-03-14 15:29:58] [info]  [ 4696] Stopping service...
[2020-03-14 15:29:59] [info]  [ 4696] Service stop thread completed.
[2020-03-14 15:29:59] [info]  [ 1644] Run service finished.
[2020-03-14 15:29:59] [info]  [ 1644] Commons Daemon procrun finished
[2020-03-14 15:29:59] [info]  [ 6520] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 15:30:00] [info]  [ 6520] Running 'Tomcat8' Service...
[2020-03-14 15:30:00] [info]  [ 1888] Starting service...
[2020-03-14 15:30:01] [info]  [ 1888] Service started in 1235 ms.
[2020-03-14 16:46:35] [info]  [ 6660] Stopping service...
[2020-03-14 16:46:36] [info]  [ 6660] Service stop thread completed.
[2020-03-14 16:46:36] [info]  [ 6520] Run service finished.
[2020-03-14 16:46:36] [info]  [ 6520] Commons Daemon procrun finished
[2020-03-14 16:46:37] [info]  [ 7848] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 16:46:37] [info]  [ 7848] Running 'Tomcat8' Service...
[2020-03-14 16:46:37] [info]  [ 9316] Starting service...
[2020-03-14 16:46:38] [info]  [ 9316] Service started in 1188 ms.
[2020-03-14 16:58:05] [info]  [10140] Stopping service...
[2020-03-14 16:58:06] [info]  [10140] Service stop thread completed.
[2020-03-14 16:58:06] [info]  [ 7848] Run service finished.
[2020-03-14 16:58:06] [info]  [ 7848] Commons Daemon procrun finished
[2020-03-14 16:58:07] [info]  [ 9264] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 16:58:07] [info]  [ 9264] Running 'Tomcat8' Service...
[2020-03-14 16:58:07] [info]  [ 4676] Starting service...
[2020-03-14 16:58:08] [info]  [ 4676] Service started in 1159 ms.
[2020-03-14 17:02:16] [info]  [ 5728] Stopping service...
[2020-03-14 17:02:18] [info]  [ 5728] Service stop thread completed.
[2020-03-14 17:02:18] [info]  [ 9264] Run service finished.
[2020-03-14 17:02:18] [info]  [ 9264] Commons Daemon procrun finished
[2020-03-14 17:02:18] [info]  [ 8484] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 17:02:18] [info]  [ 8484] Running 'Tomcat8' Service...
[2020-03-14 17:02:18] [info]  [ 7408] Starting service...
[2020-03-14 17:02:20] [info]  [ 7408] Service started in 1231 ms.
[2020-03-14 17:11:42] [info]  [ 8448] Stopping service...
[2020-03-14 17:11:43] [info]  [ 8448] Service stop thread completed.
[2020-03-14 17:11:44] [info]  [ 8484] Run service finished.
[2020-03-14 17:11:44] [info]  [ 8484] Commons Daemon procrun finished
[2020-03-14 17:11:44] [info]  [  504] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 17:11:44] [info]  [  504] Running 'Tomcat8' Service...
[2020-03-14 17:11:44] [info]  [10536] Starting service...
[2020-03-14 17:11:45] [info]  [10536] Service started in 1154 ms.
[2020-03-14 17:13:35] [info]  [ 8028] Stopping service...
[2020-03-14 17:13:36] [info]  [ 8028] Service stop thread completed.
[2020-03-14 17:13:37] [info]  [  504] Run service finished.
[2020-03-14 17:13:37] [info]  [  504] Commons Daemon procrun finished
[2020-03-14 17:13:37] [info]  [ 9764] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 17:13:37] [info]  [ 9764] Running 'Tomcat8' Service...
[2020-03-14 17:13:37] [info]  [ 2860] Starting service...
[2020-03-14 17:13:38] [info]  [ 2860] Service started in 1185 ms.
[2020-03-14 17:19:20] [info]  [11484] Stopping service...
[2020-03-14 17:19:21] [info]  [11484] Service stop thread completed.
[2020-03-14 17:19:21] [info]  [ 9764] Run service finished.
[2020-03-14 17:19:21] [info]  [ 9764] Commons Daemon procrun finished
[2020-03-14 17:19:22] [info]  [11524] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 17:19:22] [info]  [11524] Running 'Tomcat8' Service...
[2020-03-14 17:19:22] [info]  [11576] Starting service...
[2020-03-14 17:19:23] [info]  [11576] Service started in 1192 ms.
[2020-03-14 17:42:20] [info]  [10968] Stopping service...
[2020-03-14 17:42:21] [info]  [10968] Service stop thread completed.
[2020-03-14 17:42:22] [info]  [11524] Run service finished.
[2020-03-14 17:42:22] [info]  [11524] Commons Daemon procrun finished
[2020-03-14 18:00:19] [info]  [11424] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 18:00:19] [info]  [11424] Running 'Tomcat8' Service...
[2020-03-14 18:00:19] [info]  [12032] Starting service...
[2020-03-14 18:00:20] [info]  [12032] Service started in 1149 ms.
